from_node,to_node,distance_m
-1044300151#1,-1156059511#1,49.65
-1044300151#1,1044300151#0,69.51
-1044300151#1,-861020841#3,108.77
-1044300151#1,1156059511#0,78.62
-1044300151#1,862430709#0,127.39
-1044300151#1,-862430709#1,173.91
-1044300151#1,1156995273#0,163.01
-1044300151#1,-19501755#1,165.54
-1044300151#1,861020841#0,197.43
-1044300151#1,-1156995273#1,187.76
-1044300151#1,1156059512#0,207.84
-1044300151#1,19501755#0,190.5
-1044300151#1,45068317#0,247.04
-1044300151#1,50264014#0,244.29
-1044300151#1,-1156059512#3,272.47
-1044300151#1,45230026#0,253.09
-1044300151#1,-45230026#0,277.83
-1044300151#1,37764649#0,285.18
-1044300151#1,45230026#1,320.42
-1044300151#1,-1156995271#1,341.23
-1044300151#1,1156055587#0,323.42
-1044300151#1,-45068317#1,347.74
-1044300151#1,110852876,623.94
-1044300151#1,37764649#3,464.91
-1044300151#1,-1156055587#1,385.61
-1044300151#1,1156055592#0,599.88
-1044300151#1,1156995270#0,388.77
-1044300151#1,-45230026#1,429.42
-1044300151#1,1416583218,445.31
-1044300151#1,-861020840#1,457.4
-1044300151#1,861020840#2,451.93
-1044300151#1,-861020840#3,509.68
-1044300151#1,1155817285#0,493.72
-1044300151#1,-1155817285#1,519.56
-1044300151#1,637141664#1-AddedOnRampEdge,565.88
-1044300151#1,637141664#1,888.53
-1044300151#1,1416583209#1,639.99
-1044300151#1,1156995277,800.76
-1044300151#1,1156995283,697.43
-1044300151#1,-1156995283,756.49
-1044300151#1,1156995282,763.31
-1044300151#1,-1156995282,836.12
-1044300151#1,215429505#0,845.47
-1044300151#1,-1156049982#1,1095.29
-1044300151#1,1156049982#2,919.8
-1044300151#1,-215429505#1,937.16
-1044300151#1,1156995281,953.0
-1044300151#1,1156995274,958.43
-1044300151#1,1156995276#1,956.69
-1044300151#1,37764745#1,961.94
-1044300151#1,-1157770307#2,1276.3
-1044300151#1,1507147342#0,964.53
-1044300151#1,1416583209#0,1041.48
-1044300151#1,637141664#0,1010.17
-1044300151#1,-1507147342#1,992.6
-1044300151#1,51067095#0,1004.06
-1044300151#1,-1156049982#4,1066.25
-1044300151#1,1156049984#0,1077.05
-1044300151#1,815725316#0,1139.89
-1044300151#1,-1156995281,1077.31
-1044300151#1,-51067095#2,1054.99
-1044300151#1,1507147341#0,1054.79
-1044300151#1,-1507147341#1,1105.0
-1044300151#1,862110250#0,1113.44
-1044300151#1,-862110250#2,1180.22
-1044300151#1,1507147340,1169.36
-1044300151#1,-1156049984#7,1245.07
-1044300151#1,664000909,1288.67
-1044300151#1,861020838#1,1265.53
-1044300151#1,1156995275,1179.57
-1044300151#1,45189246,1335.81
-1044300151#1,-1507147340,1214.02
-1044300151#1,861011657#0,1220.01
-1044300151#1,637141663,1214.36
-1044300151#1,19494818,1286.94
-1044300151#1,637141666,1254.45
-1044300151#1,-861011657#1,1276.64
-1044300151#1,1156343684#0,1284.45
-1044300151#1,1156343709#0,1281.94
-1044300151#1,1507147339#0,1261.76
-1044300151#1,-51067069,1296.03
-1044300151#1,1094664762#1,1292.12
-1044300151#1,42786490,1573.57
-1044300151#1,-1507147339#1,1288.64
-1044300151#1,862527355#0,1322.5
-1044300151#1,815725317,1313.49
-1044300151#1,51066113#0,1355.42
-1044300151#1,861029877#0,1349.47
-1044300151#1,-1094664762#2,1345.87
-1044300151#1,1163433677#0,1380.68
-1044300151#1,-66945385#2,1420.47
-1044300151#1,1094664763#0,1363.69
-1044300151#1,1156343682#0,1356.48
-1044300151#1,1156343705#0,1359.99
-1044300151#1,-45270782,1432.52
-1044300151#1,51067069,1365.78
-1044300151#1,-1448297880,1392.1
-1044300151#1,1157669580,1352.96
-1044300151#1,-1157669580,1379.62
-1044300151#1,1156343697,1409.55
-1044300151#1,1156343700,1394.15
-1044300151#1,139746241#0,1412.66
-1044300151#1,-1507147338,1417.11
-1044300151#1,1507147337,1391.33
-1044300151#1,-861020838#10,1474.38
-1044300151#1,861020838#11,1391.19
-1044300151#1,-1157035024#0,1418.32
-1044300151#1,1157035024#1,1646.28
-1044300151#1,183526669#0,1413.53
-1044300151#1,183526670#0,1427.68
-1044300151#1,1156343707#0,1440.22
-1044300151#1,51066111#2,1432.04
-1044300151#1,-861020838#12,1433.59
-1044300151#1,861020838#13,1520.5
-1044300151#1,-1507147337,1434.32
-1044300151#1,862116439#0,1450.7
-1044300151#1,38221685-AddedOnRampEdge,1463.5
-1044300151#1,1156343698,1449.14
-1044300151#1,1390816408,1443.33
-1044300151#1,1486914475#0,1449.49
-1044300151#1,-1163433680,1503.24
-1044300151#1,115931295#0,1519.44
-1044300151#1,1157669581,1476.57
-1044300151#1,51066112,1465.37
-1044300151#1,-139746241#1,1505.2
-1044300151#1,1156129123#0,1511.73
-1044300151#1,19489764#0,1581.05
-1044300151#1,878029078,1563.19
-1044300151#1,1156343702,1484.06
-1044300151#1,289303287,1482.21
-1044300151#1,1156343703,1479.15
-1044300151#1,-51066112,1489.58
-1044300151#1,861134582#0,1542.69
-1044300151#1,-862116439#1,1526.42
-1044300151#1,862070076,1554.22
-1044300151#1,45270800,1520.06
-1044300151#1,45270801,1523.89
-1044300151#1,1486914470#0,1510.32
-1044300151#1,1390815914,1520.59
-1044300151#1,38221685,1818.68
-1044300151#1,-115931295#1,1592.2
-1044300151#1,66945381,1621.45
-1044300151#1,-45270783,1612.34
-1044300151#1,45270782,1633.51
-1044300151#1,-1447378995,1617.35
-1044300151#1,1156129122,1578.39
-1044300151#1,-1156129122,1606.08
-1044300151#1,1156129121,1615.04
-1044300151#1,-861134582#2,1673.13
-1044300151#1,861134577#0,1692.32
-1044300151#1,-862070076,1685.56
-1044300151#1,1156343845,1683.15
-1044300151#1,-861020838#14,1736.72
-1044300151#1,861020838#15,1642.32
-1044300151#1,-1156129121,1660.65
-1044300151#1,-861020838#17,1669.73
-1044300151#1,19507256#0,1672.67
-1044300151#1,1156343695#0,1680.34
-1044300151#1,1156343716,1798.03
-1044300151#1,862527358#0,1699.36
-1044300151#1,174321042#0,1747.77
-1044300151#1,45397083,1907.56
-1044300151#1,-19507256#1,1705.71
-1044300151#1,70078200,1721.78
-1044300151#1,-174321042#1,1758.86
-1044300151#1,861250238,1769.19
-1044300151#1,19489764#1-AddedOnRampEdge,1748.62
-1044300151#1,-1156343695#2,1725.95
-1044300151#1,-394075886#1,1744.64
-1044300151#1,1156129119#0,1753.08
-1044300151#1,862527358#1,1769.77
-1044300151#1,-1156343845,1809.68
-1044300151#1,196862691,1810.91
-1044300151#1,-861029880#3,1805.53
-1044300151#1,-861134577#5,1861.15
-1044300151#1,393463230#0,1851.71
-1044300151#1,-1156129118#2,1809.87
-1044300151#1,394075886#0,1827.98
-1044300151#1,19489764#1,1877.01
-1044300151#1,-1448041098#0,1852.94
-1044300151#1,1448041097,1816.9
-1044300151#1,1486914476,1830.5
-1044300151#1,-1448041097,1844.26
-1044300151#1,1156343855#0,1869.55
-1044300151#1,-1156129116#1,1896.65
-1044300151#1,1156129118#0,1857.32
-1044300151#1,-51067068,1864.67
-1044300151#1,861029880#0,1863.12
-1044300151#1,1364772130#0,1880.73
-1044300151#1,1156995276#0,1969.55
-1044300151#1,-1162266879#1,1940.06
-1044300151#1,-582913872#3,1906.41
-1044300151#1,111563738#0,1917.41
-1044300151#1,111563746,1911.32
-1044300151#1,51067068,1925.38
-1044300151#1,-1156343693#0,1947.53
-1044300151#1,1156343693#1,1926.05
-1044300151#1,173793335#5,1931.81
-1044300151#1,472359076,1949.3
-1044300151#1,472359077,1954.18
-1044300151#1,582913872#2,1968.67
-1044300151#1,-111563746,1974.61
-1044300151#1,111563749#0,1980.09
-1044300151#1,51067081#0,1965.17
-1044300151#1,-1156343693#1,1961.15
-1044300151#1,-173793335#5,1959.77
-1044300151#1,862426392,1993.99
-1044300151#1,51067073,1997.04
-1052865256#1,-582913874#1,109.56
-1052865256#1,1052865256#0,100.2
-1052865256#1,395353138,172.23
-1052865256#1,-582913876#3,297.98
-1052865256#1,582913874#0,228.45
-1052865256#1,-395353138,216.09
-1052865256#1,861250237,224.28
-1052865256#1,-861250237,284.52
-1052865256#1,1156343857#0,314.85
-1052865256#1,-862077239#4,344.83
-1052865256#1,394075887#0,410.59
-1052865256#1,-1156343857#3,435.76
-1052865256#1,861104700#0,434.73
-1052865256#1,-862077239#1,461.37
-1052865256#1,862077239#2,457.39
-1052865256#1,-395353136#1,485.93
-1052865256#1,582913876#0,555.92
-1052865256#1,-1156129114#2,615.01
-1052865256#1,1156129116#0,556.03
-1052865256#1,-861104700#1,553.59
-1052865256#1,51067080#0,550.03
-1052865256#1,-1156343693#1,522.08
-1052865256#1,582913872#2,537.75
-1052865256#1,-215311858#3,577.34
-1052865256#1,862077239#0,568.36
-1052865256#1,-1156343693#0,578.64
-1052865256#1,1156343693#1,557.16
-1052865256#1,-1156343805#1,571.67
-1052865256#1,395353136#0,603.91
-1052865256#1,-1162266879#1,633.57
-1052865256#1,-582913872#3,599.92
-1052865256#1,111563738#0,610.92
-1052865256#1,111563746,604.83
-1052865256#1,-51067080#2,638.95
-1052865256#1,-1156343805#0,621.01
-1052865256#1,1156343805#1,625.18
-1052865256#1,-1156129116#1,664.45
-1052865256#1,1156129118#0,625.12
-1052865256#1,-111563738#2,656.94
-1052865256#1,862426392,649.6
-1052865256#1,-1448041097,631.32
-1052865256#1,1156343855#0,656.61
-1052865256#1,-862070077#6,737.43
-1052865256#1,861020835#0,698.1
-1052865256#1,-111563746,676.77
-1052865256#1,111563749#0,682.25
-1052865256#1,51067081#0,667.33
-1052865256#1,-1156343807,704.01
-1052865256#1,1156343805#0,666.05
-1052865256#1,1448041097,658.68
-1052865256#1,-1448041098#0,695.12
-1052865256#1,-1156129112#3,700.45
-1052865256#1,215311858#0,715.81
