from_node,to_node,distance_m
-1044300151#1,-1156059511#1,49.65
-1044300151#1,1044300151#0,69.51
-1044300151#1,-861020841#3,108.77
-1044300151#1,1156059511#0,78.62
-1044300151#1,862430709#0,127.39
-1044300151#1,-862430709#1,173.91
-1044300151#1,1156995273#0,163.01
-1044300151#1,-19501755#1,165.54
-1044300151#1,861020841#0,197.43
-1044300151#1,-1156995273#1,187.76
-1044300151#1,1156059512#0,207.84
-1044300151#1,19501755#0,190.5
-1044300151#1,45068317#0,247.04
-1044300151#1,50264014#0,244.29
-1044300151#1,-1156059512#3,272.47
-1044300151#1,45230026#0,253.09
-1044300151#1,-45230026#0,277.83
-1044300151#1,37764649#0,285.18
-1044300151#1,45230026#1,320.42
-1044300151#1,-1156995271#1,341.23
-1044300151#1,1156055587#0,323.42
-1044300151#1,-45068317#1,347.74
-1044300151#1,37764649#3,464.91
-1044300151#1,-1156055587#1,385.61
-1044300151#1,1156995270#0,388.77
-1044300151#1,-45230026#1,429.42
-1044300151#1,1416583218,445.31
-1044300151#1,-861020840#1,457.4
-1044300151#1,861020840#2,451.93
-1044300151#1,1155817285#0,493.72
-1052865256#1,-582913874#1,109.56
-1052865256#1,1052865256#0,100.2
-1052865256#1,395353138,172.23
-1052865256#1,-582913876#3,297.98
-1052865256#1,582913874#0,228.45
-1052865256#1,-395353138,216.09
-1052865256#1,861250237,224.28
-1052865256#1,-861250237,284.52
-1052865256#1,1156343857#0,314.85
-1052865256#1,-862077239#4,344.83
-1052865256#1,394075887#0,410.59
-1052865256#1,-1156343857#3,435.76
-1052865256#1,861104700#0,434.73
-1052865256#1,-862077239#1,461.37
-1052865256#1,862077239#2,457.39
-1052865256#1,-395353136#1,485.93
-1052865561#0,1052865561#0,79.95
-1052865561#0,37965243#1,62.56
-1052865561#0,-1493294415,106.33
-1052865561#0,1493294414,109.02
-1052865561#0,19486784,224.26
-1052865561#0,1052865561#1,162.71
-1052865561#0,-1493294414,158.18
-1052865561#0,1177545088,151.45
-1052865561#0,1177545092,193.21
-1052865561#0,-1052865561#6,249.61
-1052865561#0,51822286#0,283.54
-1052865561#0,37965241,398.23
-1052865561#0,51831897,247.8
-1052865561#0,1177545087,313.4
-1052865561#0,51067012#0,297.65
-1052865561#0,-51067012#0,335.15
-1052865561#0,-19514991,414.86
-1052865561#0,51067012#2,379.21
-1052865561#0,1177545090,380.68
-1052865561#0,-51822286#2,438.63
-1052865561#0,51822286#3,430.97
-1052865561#0,115784477#1-AddedOnRampEdge,411.13
-1052865561#0,-51067012#2,473.45
-1052865561#0,51067012#3,472.73
-1052865561#6,-1052865561#0,84.35
-1052865561#6,1052865561#1,86.6
-1052865561#6,1052865561#0,164.3
-1052865561#6,37965243#1,146.91
-1052865561#6,51822286#0,207.43
-1052865561#6,-1493294415,190.68
-1052865561#6,1493294414,193.37
-1052865561#6,19486784,308.61
-1052865561#6,-1493294414,242.53
-1052865561#6,1177545088,235.8
-1052865561#6,1177545092,277.56
-1052865561#6,-51822286#2,362.52
-1052865561#6,51822286#3,354.86
-1052865561#6,37965241,482.58
-1052865561#6,51831897,332.15
-1052865561#6,1177545087,397.75
-1052865561#6,51067012#0,382.0
-1052865561#6,-51067012#0,419.5
-1052865561#6,-19514991,499.21
-1052865561#6,51067012#2,463.56
-1052865561#6,-51822286#3,492.47
-1052865561#6,1177545090,465.03
-1052865561#6,115784477#1-AddedOnRampEdge,495.48
-1052887735#1,-143267708#3,118.63
-1052887735#1,1052887735#1,107.96
-1052887735#1,19488694,153.7
-1052887735#1,1052887735#2,197.56
-1052887735#1,143267708#3,247.94
-1052887735#1,1494705410,274.07
-1052887735#1,-143267708#1,286.22
-1052887735#1,-1052887735#5,268.81
-1052887735#1,1156610973,276.07
-1052887735#1,1156610981,332.55
-1052887735#1,51065746#0,274.21
-1052887735#1,19490082#1-AddedOnRampEdge,301.44
-1052887735#1,19511936#3,356.19
-1052887735#1,51065746#3,357.24
-1052887735#1,-1156610973,361.82
-1052887735#1,51065737,361.89
-1052887735#1,-115807524#12,423.43
-1052887735#1,143267708#0,468.56
-1052887735#1,19511936#2,441.26
-1052887735#1,51065746#4,442.84
-1052887735#1,-51065737,447.79
-1052887735#1,1156610955#0,449.3
-1052887735#1,1156610987#0,467.16
-1052887735#5,-1052887735#1,89.61
-1052887735#5,1052887735#2,71.25
-1052887735#5,1156610973,149.76
-1052887735#5,1156610981,206.24
-1052887735#5,51065746#0,147.9
-1052887735#5,-143267708#3,208.24
-1052887735#5,1052887735#1,197.57
-1052887735#5,19488694,243.31
-1052887735#5,19511936#3,229.88
-1052887735#5,51065746#3,230.93
-1052887735#5,-1156610973,235.51
-1052887735#5,51065737,235.58
-1052887735#5,143267708#3,337.55
-1052887735#5,1494705410,363.68
-1052887735#5,19511936#2,314.95
-1052887735#5,51065746#4,316.53
-1052887735#5,-51065737,321.48
-1052887735#5,1156610955#0,322.99
-1052887735#5,-143267708#1,375.83
-1052887735#5,1156610987#0,340.85
-1052887735#5,1156610997,404.91
-1052887735#5,19490082#1-AddedOnRampEdge,391.05
-1052887735#5,1448111153#0,439.8
-1052887735#5,19511936#0,403.63
-1052887735#5,-1156610955#1,411.91
-1052887735#5,1156610949#0,409.9
-1052887735#5,1156610987#0-AddedOffRampEdge,423.15
-1052887735#5,19490082#0,430.43
-1052887735#5,-1156610949#2,494.79
-1052887735#5,1156610949#3,497.48
-1052887735#5,1156610987#1,486.98
-1052887735#5,1488381208,489.74
-1068052368#4,-1279011387#5,90.92
-1068052368#4,-19509900#11,131.42
-1068052368#4,1068052368#0,83.46
-1068052368#4,861134576#0,160.94
-1068052368#4,1068052368#5,195.98
-1068052368#4,561357038,256.17
-1068052368#4,-139746604#5,279.22
-1068052368#4,1279011387#0,189.3
-1068052368#4,-19509900#5,281.3
-1068052368#4,19509900#6,310.84
-1068052368#4,-1068052368#5,337.56
-1068052368#4,19515373#0,292.81
-1068052368#4,561357037,421.58
-1068052368#4,-861134576#6,399.37
-1068052368#4,861134576#7,322.01
-1068052368#4,-19515373#1,344.82
-1068052368#4,19515373#2,348.8
-1068052368#4,-19509900#4,380.71
-1068052368#4,19509900#5,401.68
-1068052368#4,-861134576#11,405.75
-1068052368#4,861134576#12,384.96
-1068052368#4,-19515373#5,408.71
-1068052368#4,19515373#6,393.64
-1068052368#4,123898101#1-AddedOnRampEdge,434.34
-1068052368#4,-861134576#13,427.14
-1068052368#4,861134576#14,438.9
-1068052368#4,-19515373#6,423.41
-1068052368#4,19515373#7,419.41
-1068052368#4,-139746608#7,452.68
-1068052368#4,-19509900#3,441.91
-1068052368#4,19509900#4,459.15
-1068052368#4,-19515373#7,441.17
-1068052368#4,19515373#8,449.87
-1068052368#4,19509900#3,485.86
-1068052368#4,-19515373#8,489.03
-1068052368#4,861134576#17,495.99
-1068052368#4,19515373#10,496.87
-1068052368#5,-1068052368#4,112.51
-1068052368#5,1068052368#5,141.58
-1068052368#5,561357038,201.77
-1068052368#5,-1279011387#5,203.43
-1068052368#5,-19509900#11,243.93
-1068052368#5,1068052368#0,195.97
-1068052368#5,861134576#0,273.45
-1068052368#5,19515373#0,238.41
-1068052368#5,561357037,367.18
-1068052368#5,-139746604#5,391.73
-1068052368#5,1279011387#0,301.81
-1068052368#5,-19515373#1,290.42
-1068052368#5,19515373#2,294.4
-1068052368#5,-19515373#5,354.31
-1068052368#5,19515373#6,339.24
-1068052368#5,123898101#1-AddedOnRampEdge,379.94
-1068052368#5,-19509900#5,393.81
-1068052368#5,19509900#6,423.35
-1068052368#5,-19515373#6,369.01
-1068052368#5,19515373#7,365.01
-1068052368#5,-19515373#7,386.77
-1068052368#5,19515373#8,395.47
-1068052368#5,861134576#7,434.52
-1068052368#5,-19515373#8,434.63
-1068052368#5,19515373#10,442.47
-1068052368#5,-19509900#4,493.22
-1068052368#5,-19515373#11,473.02
-1068052368#5,19515373#14,472.8
-1068052368#5,861134576#12,497.47
-1094664762#2,1094664762#1,53.75
-1094664762#2,-51067069,66.3
-1094664762#2,1163433677#0,142.31
-1094664762#2,-45270782,202.79
-1094664762#2,51067069,136.05
-1094664762#2,-1163433680,264.87
-1094664762#2,115931295#0,281.07
-1094664762#2,-51067095#2,286.45
-1094664762#2,1507147341#0,286.25
-1094664762#2,1156343702,320.44
-1094664762#2,289303287,318.59
-1094664762#2,-45270783,382.61
-1094664762#2,45270782,403.78
-1094664762#2,-1507147341#1,336.46
-1094664762#2,862110250#0,344.9
-1094664762#2,-1507147342#1,325.92
-1094664762#2,51067095#0,337.38
-1094664762#2,1486914470#0,346.7
-1094664762#2,1507147342#0,354.01
-1094664762#2,1390815914,356.97
-1094664762#2,1156343707#0,382.72
-1094664762#2,51066111#2,374.54
-1094664762#2,-115931295#1,424.48
-1094664762#2,66945381,453.73
-1094664762#2,1156343698,400.98
-1094664762#2,1390816408,395.17
-1094664762#2,-862110250#2,411.68
-1094664762#2,1507147340,400.82
-1094664762#2,1156343703,430.99
-1094664762#2,1156343682#0,457.25
-1094664762#2,1156343705#0,460.76
-1094664762#2,-1507147340,445.48
-1094664762#2,861011657#0,451.47
-1094664762#2,-1157669580,441.56
-1094664762#2,1156343697,471.49
-1094664762#2,1156343700,456.09
-1094664762#2,139746241#0,474.6
-1094664762#2,1157669580,468.3
-1094664762#2,1507147339#0,493.22
-1094664806#3,-19503656#5,216.74
-1094664806#3,19503656#6,239.34
-1094664806#3,942698638#0,305.68
-1094664806#3,-110888061#3,374.54
-1094664806#3,-19505891#6,352.07
-1094664806#3,110888061#0,387.11
-1094664806#3,19503656#0,408.5
-1094664806#3,-942698638#1,346.09
-1094664806#3,1256330915,353.1
-1094664806#3,758017387#0,432.3
-1094664806#3,-119784683#0,408.18
-1094664806#3,119784683#1,399.29
-1094664806#3,-19505891#1,430.68
-1094664806#3,19505891#2,428.77
